,filename,source_captions,target_captions,can_be_used_without_source,edit
594,MusicDelta_Rockabilly_MIX.wav,A high quality recording of a woman singing while a guitar and drums play in the background.,A high quality recording of a woman singing while a bass and drums play in the background.,0,INSTR
596,MusicDelta_Shadows_MIX.wav,A recording of a calm country song.,A recording of a calm jazz song.,1,GENRE
597,MusicDelta_Shadows_MIX.wav,A recording of a calm country song.,A recording of a calm reggae song.,1,GENRE
598,MusicDelta_Shadows_MIX.wav,A recording of a calm country song.,A recording of a calm Chinese song.,1,GENRE
601,MusicDelta_Shadows_MIX.wav,A recording of a calm country song.,A recording of a happy pop song.,1,GENRE
603,MusicDelta_Shadows_MIX.wav,A recording of a calm country song.,A recording of a calm classical music piece.,1,GENRE
604,MusicDelta_Shadows_MIX.wav,A calm song with guitars and drums playing.,An upbeat song with guitars and drums playing.,0,MOOD
606,MusicDelta_Shadows_MIX.wav,A calm song with guitars and drums playing.,A calm song with trumpets and drums playing.,0,INSTR
613,MusicDelta_Shadows_MIX.wav,A high quality recording of a guitar playing a melody while another guitar and drums are playing in the background.,A high quality recording of a woman singing a melody while another woman is singing and drums are playing in the background.,0,OTHER
616,MusicDelta_SpeedMetal_MIX.wav,A recording of a cool metal song.,A recording of a cool rap song.,1,GENRE
620,MusicDelta_SpeedMetal_MIX.wav,A recording of a cool metal song.,A recording of a cool techno song.,1,GENRE
621,MusicDelta_SpeedMetal_MIX.wav,A recording of a cool metal song.,A recording of a rhythmic oriental song.,1,GENRE
624,MusicDelta_SpeedMetal_MIX.wav,"A metal song with an electric guitar, bass and drums playing.","A country song with a banjo, bass and drums playing.",0,GENRE
628,MusicDelta_SpeedMetal_MIX.wav,A high quality recording of an electric guitar playing a cool metal solo with accompaniment.,A high quality recording of a violin playing a cool metal solo with accompaniment.,0,INSTR
631,MusicDelta_SpeedMetal_MIX.wav,A high quality recording of an electric guitar playing a cool metal solo with accompaniment.,A high quality recording of a woman vocalizing an epic opera solo with accompaniment.,0,OTHER
633,MusicDelta_SpeedMetal_MIX.wav,A high quality recording of an electric guitar playing a cool metal solo with accompaniment.,A high quality recording of an acoustic guitar playing a cool pop solo with accompaniment.,0,INSTR
635,MusicDelta_SwingJazz_MIX.wav,A recording of a cool jazz song.,A recording of a romantic country song.,1,GENRE
636,MusicDelta_SwingJazz_MIX.wav,A recording of a cool jazz song.,A recording of a cool hip hop song.,1,GENRE
637,MusicDelta_SwingJazz_MIX.wav,A recording of a cool jazz song.,A recording of a cool techno song.,1,GENRE
638,MusicDelta_SwingJazz_MIX.wav,A recording of a cool jazz song.,A recording of an epic classical score.,1,GENRE
644,MusicDelta_SwingJazz_MIX.wav,"A jazz song with a saxophone, piano, bass and drums playing.","A jazz song with a saxophone, violin, bass and drums playing.",0,INSTR
646,MusicDelta_SwingJazz_MIX.wav,"A jazz song with a saxophone, piano, bass and drums playing.","A classical piece with a string section, piano, bass and drums playing.",0,GENRE
648,MusicDelta_SwingJazz_MIX.wav,"A saxophone, piano, bass and drums playing a cool happy song.","A man singing and a piano, bass and drums playing a cool happy song.",0,OTHER
651,MusicDelta_SwingJazz_MIX.wav,"A saxophone, piano, bass and drums playing a cool happy song.","A guitar, piano, bass and drums playing a cool happy song.",0,INSTR
652,MusicDelta_SwingJazz_MIX.wav,"A saxophone, piano, bass and drums playing a cool happy song.","A flute, piano, bass and drums playing a cool happy song.",0,INSTR
653,MusicDelta_Vivaldi_MIX.wav,A recording of a happy upbeat classical music piece.,A recording of a happy upbeat blues song.,1,GENRE
657,MusicDelta_Vivaldi_MIX.wav,A recording of a happy upbeat classical music piece.,A recording of a sad and mysterious classical music piece.,0,MOOD
659,MusicDelta_Vivaldi_MIX.wav,A recording of a happy upbeat classical music piece.,A recording of a happy upbeat jazz song.,1,GENRE
661,MusicDelta_Vivaldi_MIX.wav,A strings section playing classical music.,A synthesizer playing techno music.,0,GENRE
663,MusicDelta_Vivaldi_MIX.wav,A strings section playing classical music.,A metal band playing metal music.,1,GENRE
664,MusicDelta_Vivaldi_MIX.wav,A strings section playing classical music.,Flutes playing classical music.,0,INSTR
667,MusicDelta_Vivaldi_MIX.wav,A high quality recording of strings playing a happy song.,A high quality recording of a piano playing a happy song.,0,INSTR
668,MusicDelta_Vivaldi_MIX.wav,A high quality recording of strings playing a happy song.,A high quality recording of strings playing a sad song.,0,MOOD
670,MusicDelta_Vivaldi_MIX.wav,A high quality recording of strings playing a happy song.,A high quality recording of a rock band playing a happy song.,0,GENRE
673,MusicDelta_Vivaldi_MIX.wav,A high quality recording of strings playing a happy song.,A high quality recording of a country band playing a happy song.,0,GENRE
677,MusicDelta_Zeppelin_MIX.wav,A recording of a hard rock song.,A recording of a techno song.,1,GENRE
678,MusicDelta_Zeppelin_MIX.wav,A recording of a hard rock song.,A recording of an arcade game soundtrack.,1,GENRE
680,MusicDelta_Zeppelin_MIX.wav,A recording of a hard rock song.,A recording of a romantic country.,1,GENRE
682,MusicDelta_Zeppelin_MIX.wav,A recording of a hard rock song.,A recording of a hip hop song.,1,GENRE
683,MusicDelta_Zeppelin_MIX.wav,"An electric guitar playing epic riffs while another guitar, bass and drums are playing in the background.","A trumpet playing an epic solo while a guitar, bass and drums are playing in the background.",0,INSTR
686,MusicDelta_Zeppelin_MIX.wav,"An electric guitar playing epic riffs while another guitar, bass and drums are playing in the background.","A saxophone playing an epic solo while another saxophone, bass and drums are playing in the background.",0,INSTR
688,MusicDelta_Zeppelin_MIX.wav,"An electric guitar playing epic riffs while another guitar, bass and drums are playing in the background.","An electric guitar playing epic riffs while a piano, bass and drums are playing in the background.",0,INSTR
691,MusicDelta_Zeppelin_MIX.wav,A high quality recording of an epic guitar hard rock solo with a rock band accompaniment.,A high quality recording of an epic saxophone jazz solo with a jazz band accompaniment.,0,INSTR
694,MusicDelta_Zeppelin_MIX.wav,A high quality recording of an epic guitar hard rock solo with a rock band accompaniment.,A high quality recording of an epic violin solo with an orchestra accompaniment.,0,INSTR
695,MusicDelta_Zeppelin_MIX.wav,A high quality recording of an epic guitar hard rock solo with a rock band accompaniment.,A high quality recording of an epic guitar country solo with a country band accompaniment.,0,GENRE
